"Nombre del portal";"Enlace al portal";"Organismo de la iniciativa";"Geoposition";"Nivel de administración";"Grado de reutilización";"Tipo de buscador";"Categoría";"Estrategia apertura de datos";"Descarga del catálogo";"Web Service";"API Ckan";"Restful API";"Punto SPARQL";"Licencia";"Canal de solicitud";"Catálogo de aplicaciones";"Recursos formativos";"Colabora con datos.gob.es"
"Tenerife Datos";"http://www.tenerifedata.com/";"Cabildo de Tenerife. Área de Empleo, Desarrollo Económico, Comercio y Acción Exterior";"28.466236400000,-16.246750400000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Demografía, Turismo, Comercio, Transporte, Empleo, Industria, Medio Ambiente, Medio Rural, Economía";"";"";"";"http://www.tenerifedata.com/api";"";"";"Licencia tipo Real Decreto 1495/2011";"";"";"";"No"
"Gipuzkoa Irekia Datos Abiertos";"http://www.gipuzkoairekia.eus/es/datu-irekien-katalogoa";"Diputación de Guipúzcoa";"43.321290700000,-1.981792600000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Demografía, Economía, Energía, Empleo, Transporte, Sociedad y Bienestar, Urbanismo e Infraestructuras, Medio Ambiente, Deporte, Cultura y Ocio, Medio Rural, Legislación y Justicia, Hacienda, Sector Público, Turismo";"";"";"";"";"";"";"Creative Commons Reconocimiento-CompartirIgual (CC BY-SA)";"http://www.gipuzkoairekia.eus/es/datu-irekien-eskaera";"http://www.gipuzkoairekia.eus/es/aplikazioak";"";"No"
"Granollers Open Data";"https://opendata.granollers.cat/es/";"Ayuntamiento de Granollers";"41.607694000000,2.287164000000";"Administración Local";"(****) Datos RDF";"Avanzado";"Economía, Sector Público";"";"";"";"";"";"";"Creative Commons Reconocimiento-SinObraDerivada (CC BY-ND)";"https://opendata.granollers.cat/es/nominate";"";"";"No"
"Portal de Datos Abiertos del Ayuntamiento de Rivas Vaciamadrid";"http://datosabiertos.rivasciudad.es/";"AYUNTAMIENTO DE RIVAS VACIAMADRID";"40.355131000000,-3.548189000000";"Administración Local";"(****) Datos RDF";"Avanzado";"";"";"";"";"";"";"";"";"";"";"";"No"
"Portal de Gobierno Abierto de la Diputación de Cádiz";"http://gobiernoabierto.dipucadiz.es/catalogo-de-datos-abiertos";"Diputación de Cádiz - EPICSA";"36.534748000000,-6.293254000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Medio Ambiente, Medio Rural, Sector Público, Transporte, Turismo, Urbanismo e Infraestructuras";"";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"http://gobiernoabierto.dipucadiz.es/solicitar";"http://gobiernoabierto.dipucadiz.es/aplicaciones-desarrolladas";"http://gobiernoabierto.dipucadiz.es/datos-abiertos";"No"
"Manlleu Dades Obertes";"https://opendata.dadesobertesmanlleu.cat/";"Ayuntamiento de Manlleu";"41.999962100000,2.283611800000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"http://transparencia.manlleu.cat/dades-obertes/formulari-dades-obertes.htm";"";"";"No"
"Datos Abiertos de la Universidad de Extremadura ";"http://opendata.unex.es/";"Universidad de Extremadura";"39.479000300000,-6.355155600000";"Universidades";"(*****) Datos enlazados";"Sencillo";"";"";"";"";"";"";"http://opendata.unex.es/consulta-sparql";"Creative Commons Reconocimiento (CC BY)";"";"http://opendata.unex.es/aplicaciones";"";"Sí"
"Portal Datos Abiertos OTOM-UNED";"http://gesmant.uned.es/otom_ods/";"Oficina Técnica de Obras y Mantenimiento de la UNED";"40.451281400000,-3.737564000000";"Universidades";"(***) Formatos no propietarios";"Sencillo";"Educación, Energía, Sector Público";"";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"http://gesmant.uned.es/otom_ods/contacto.html";"";"";"No"
"Portal Open Data Ajuntament de Torrent";"http://datosabiertos.torrent.es/es/";"Ayuntamiento de Torrent";"39.436880000000,-0.465310000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Open data Vitoria-Gasteiz";"http://www.vitoria-gasteiz.org/opendata";"Ayuntamiento de Vitoria";"42.859165600000,-2.681791800000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Datos abiertos en la Región de Murcia";"http://datosabiertos.regiondemurcia.es/";"Región de Murcia";"37.992240000000,-1.130654000000";"Administración Autonómica";"(***) Formatos no propietarios";"Sencillo";"Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Educación, Empleo, Energía, Hacienda, Industria, Legislación y Justicia, Medio Ambiente, Medio Rural, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda";"";"";"";"http://datosabiertos.regiondemurcia.es/catalogo/api";"";"";"http://datosabiertos.regiondemurcia.es/avisolegal";"http://datosabiertos.regiondemurcia.es/participa";"http://datosabiertos.regiondemurcia.es/aplicaciones";"";"No"
"Ayuntamiento Los Barrios";"http://www.losbarrios.es/el-consistorio/ayuntamiento/participacion-ciudadana/datos-abiertos/";"Ayuntamiento Los Barrios";"36.185390000000,-5.492747000000";"Administración Local";"(*) Datos publicados";"Sencillo";"";"";"";"";"";"";"";"";"";"";"";"No"
"Gobierno abierto Ayuntamiento de Cuenca";"http://gobiernoabierto.cuenca.es/default.aspx?tabid=25545";"Ayuntamiento de Cuenca";"40.070339000000,-2.136024000000";"Administración Local";"(**) Datos estructurados";"Avanzado";"";"";"";"";"";"";"";"";"";"";"";"No"
"Dades Obertes Ajuntament de Girona";"https://www.girona.cat/opendata/";"Ajuntament de Girona";"41.981800000000,2.823700000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Portal de Gobierno Abierto de Eibar";"http://eibar.gipuzkoairekia.eus/es/datu-irekien-katalogoa";"Ayuntamiento de Eibar";"43.184180000000,-2.473289000000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"";"";"";"";"";"";"";"";"";"";"";"No"
"Catálogo de datos Ayuntamiento de Errenteria";"http://www.gipuzkoairekia.eus/es/web/errenteria/datu-irekien-katalogoa";"Ayuntamiento de Errenteria";"43.312750000000,-1.899633000000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"";"";"";"";"";"";"";"";"";"";"";"No"
"Portal de Gobierno Abierto de Zarautz";"http://zarautz.gipuzkoairekia.eus/es";"Ayuntamiento de Zarautz";"43.280360000000,-2.171588000000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"";"";"";"";"";"";"";"";"";"";"";"No"
"Open Data Ayuntamiento de Arroyomolinos";"http://www.arroyomolinos.es/open-data";"Ayuntamiento de Arroyomolinos";"40.268840000000,-3.920291000000";"Administración Local";"(****) Datos RDF";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Catálogo de datos abiertos Ayuntamiento de Leganés";"http://www.leganes.org/portal/contenedor_ficha.jsp?seccion=s_fdes_d4_v1.jsp&codbusqueda=1916&language=es&codResi=1&codMenuPN=4&codMenu=1939&layout=contenedor_ficha.jsp&layout=contenedor_ficha.jsp";"Ayuntamiento de Leganés";"40.326420000000,-3.758988000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Portal de Datos Abiertos del Ayuntamiento de Alhaurín de la Torre";"http://transparencia.alhaurindelatorre.es/dataset";"Ayuntamiento de Alhaurín de la Torre";"36.668360000000,-4.552967000000";"Administración Local";"(**) Datos estructurados";"Avanzado";"";"";"";"";"";"";"";"";"";"";"";"No"
"Portal de Datos Abiertos del Ayuntamiento de Fuengirola";"http://datosabiertos.fuengirola.es/";"Ayuntamiento de Fuengirola";"36.539010000000,-4.624353000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"";"";"";"";"";"";"";"";"";"";"";"No"
"Catálogo de datos abiertos del Ayuntamiento de San Bartolomé de Tirajana";"https://eadmin.maspalomas.com/publico/opendata/catalogo";"Ayuntamiento de San Bartolomé de Tirajana";"27.924610000000,-15.573000000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"Demografía";"";"";"";"";"";"";"";"";"";"";"No"
"OpenData La Laguna";"http://datos.aytolalaguna.es/organization/ayuntamiento-de-san-cristobal-de-la-laguna";"Ayuntamiento de San Cristóbal de La Laguna";"28.488120000000,-16.314780000000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"";"";"";"";"";"";"";"";"";"";"";"No"
"Catálogo de datos abiertos del Ayuntamiento de Los Llanos de Aridane";"https://eadmin.aridane.org/transparencia/datos/catalogo";"Ayuntamiento de Los Llanos de Aridane";"28.656190000000,-17.911370000000";"Administración Local";"(***) Formatos no propietarios";"";"Demografía";"";"";"";"";"";"";"";"";"";"";"No"
"Catálogo de datos abiertos del Ayuntamiento de Puerto de la Cruz";"https://sedeelectronica.puertodelacruz.es/publico/opendata/catalogo?__hstc=3321391.2eb8a903822d60143a3eef6dc139947d.1485940377752.1486032725251.1486036125430.7&__hssc=3321391.48.1486036125430&__hsfp=1315653751";"Ayuntamiento de Puerto de la Cruz";"28.413390000000,-16.545160000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Portal de datos abiertos del Ayuntamiento de Santa Cruz de Tenerife";"http://www.santacruzdetenerife.es/opendata/";"Ayuntamiento de Santa Cruz de Tenerife";"28.469810000000,-16.254860000000";"Administración Local";"(****) Datos RDF";"Avanzado";"";"";"";"";"http://www.santacruzdetenerife.es/opendata/about#api";"";"http://www.santacruzdetenerife.es/opendata/sparql";"";"";"";"";"No"
"Portal de Transparencia del Ayuntamiento de la cuidad de Tacoronte";"https://sede.tacoronte.es/publico/opendata/catalogo";"Ayuntamiento de la cuidad de Tacoronte";"28.481530000000,-16.412000000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"Demografía";"";"";"";"";"";"";"";"";"";"";"No"
"Portal de Transparencia Diputació de Castelló";"https://datosabiertos.dipcas.es/pages/opendata/";"Diputació de Castelló";"40.470096500000,0.471785900000";"Administración Local";"(*****) Datos enlazados";"Avanzado";"";"";"";"";"";"";"";"";"";"";"";"No"
"Datos abiertos Ayuntamiento de Lucena";"https://www.aytolucena.es/contenido/datos-abiertos";"Ayuntamiento de Lucena";"37.408730000000,-4.485598000000";"Administración Local";"";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Datos abiertos Montilla";"http://www.montilla.es/contenido/datos-abiertos";"Ayuntamiento de Montilla";"37.589630000000,-4.638313000000";"Administración Local";"";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Datos abiertos Priego de Córdoba";"http://www.priegodecordoba.es/contenido/datos-abiertos";"Ayuntamiento de Priego de Córdoba";"37.438900000000,-4.194839000000";"Administración Local";"";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Portal de Datos Abiertos Diputación Provincial de Cuenca";"https://sede.dipucuenca.es/sede/portal-de-datos-abiertos-de-la-diputacion-de-cuenca";"Diputación Provincial de Cuenca";"40.058425000000,-2.129459000000";"Administración Local";"(*) Datos publicados";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Catálogo de datos Diputación de Huesca";"http://datosabiertos.dphuesca.es/";"Diputación de Huesca";"42.136774300000,-0.408370600000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"";"";"";"";"";"";"http://www.dphuesca.es/sparql";"";"";"";"";"No"
"Portal de Transparencia Diputación de Teruel";"https://236ws.dpteruel.es/transparencia/dpteruel/open-data/";"Diputación de Teruel";"40.341001200000,-1.107223600000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"";"";"";"";"";"https://236ws.dpteruel.es/transparencia/dpteruel/open-data/api/";"https://236ws.dpteruel.es/transparencia/dpteruel/open-data/punto-sparql/";"";"";"";"";"No"
"Datos abiertos Castelldefels";"https://seu-e.cat/es/web/castelldefels/dades-obertes";"Ayuntamiento de Castelldefels";"41.280390000000,1.976774000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"Sector Público";"";"";"";"";"";"";"";"";"";"";"No"
"Datos abiertos Esparreguera";"https://seu-e.cat/es/web/esparreguera/dades-obertes";"Ayuntamiento de Esparreguera";"41.538890000000,1.870692000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"Sector Público";"";"";"";"";"";"";"";"";"";"";"No"
"Datos abiertos Esplugues de Llobregat";"https://seu-e.cat/web/EspluguesdeLlobregat/dades-obertes";"Ayuntamiento de Esplugues de Llobregat";"41.377510000000,2.088085000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"Sector Público";"";"";"";"";"";"";"";"";"";"";"No"
"Datos abiertos Igualada";"https://seu-e.cat/web/igualada/dades-obertes";"Ayuntamiento de Igualada";"41.578770000000,1.617193000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"Sector Público";"";"";"";"";"";"";"";"";"";"";"No"
"Datos abiertos Olot";"https://seu-e.cat/web/olot/dades-obertes";"Ayuntamiento de Olot";"42.182110000000,2.488189000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"Sector Público";"";"";"";"";"";"";"";"";"";"";"No"
"Datos abiertos Guía de Isora";"https://sede.guiadeisora.es/transparencia/datos/catalogo";"Ayuntamiento de Guía de Isora";"28.209950000000,-16.779000000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"Sociedad y Bienestar";"";"";"";"";"";"";"";"";"";"";"No"
"Datos abiertos Amposta";"https://seu-e.cat/es/web/amposta/dades-obertes";"Ayuntamiento de Amposta";"40.712310000000,0.579972000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"Sector Público";"";"";"";"";"";"";"";"";"";"";"No"
"Datos abiertos Teguise";"https://sede.teguise.es/publico/opendata/catalogo";"Ayuntamiento de Teguise";"29.059420000000,-13.560300000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"Sector Público, Sociedad y Bienestar";"";"";"";"";"";"";"";"";"";"";"No"
"Dades Obertes Ajuntament de Sant Quirze del Vallès";"https://seu-e.cat/web/santquirzedelvalles/dades-obertes";"Ayuntamiento de Sant Quirze del Vallès";"41.530800000000,2.086581000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"Economía, Hacienda, Sector Público, Urbanismo e Infraestructuras";"";"";"";"";"";"";"";"";"";"";"No"
"Dades Obertes de l'Ajuntament de L'Hospitalet";"https://dadesobertes.l-h.cat/";"Ajuntament de L&#039;Hospitalet";"41.359314500000,2.099301200000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Educación, Empleo, Energía, Hacienda, Industria, Legislación y Justicia, Medio Ambiente, Medio Rural, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Turismo, Urbanismo e Infraestructuras, Vivienda";"";"";"";"";"";"";"";"";"";"";"No"
"Datos abiertos de la Infraestructura de Datos Espaciales de la CHG";"https://idechg.chguadalquivir.es/nodo/datosabiertos.html";"Confederación Hidrográfica del Guadalquivir";"37.375454400000,-5.988225400000";"Administración del Estado";"(***) Formatos no propietarios";"Sencillo";"Medio Ambiente";"";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"";"";"";"No"
"Datos Abiertos del Port de Barcelona";"http://www.portdebarcelona.cat/ca/web/autoritat-portuaria/open-data";"Autoridad Portuaria de Barcelona";"41.371367000000,2.182112000000";"Administración del Estado";"(***) Formatos no propietarios";"";"Economía, Sector Público, Transporte";"";"http://opendata.portdebarcelona.cat/cataleg/BcnPort_cataleg.rdf";"";"";"";"";"http://www.portdebarcelona.cat/web/autoritat-portuaria/condicions";"";"";"";"Sí"
"Datos Abiertos Autoridad Portuaria de Baleares";"https://seu.portsdebalears.gob.es/seuapb/fitxa/8356/datos-abiertos";"Autoridad Portuaria de Baleares";"39.566700000000,2.644828000000";"Administración del Estado";"(****) Datos RDF";"";"Empleo, Sector Público, Seguridad, Transporte";"https://seu.portsdebalears.gob.es/seuapb/file/pdf/8361/Plan_RISP_AP_Baleares.pdf;jsessionid=d+dpfJ8oa0edDDPFs8qSbegY.undefined";"";"";"";"";"";"https://seu.portsdebalears.gob.es/seuapb/fitxa/7796/condiciones-datos-abiertos";"https://seu.portsdebalears.gob.es/seuapb/fitxa/8378/solicitudes-de-datos";"";"";"Sí"
"Datos Abiertos Puertos del Estado";"https://sede.puertos.gob.es/Paginas/CatalogoRISP.aspx";"Puertos del estado";"40.463385000000,-3.616847000000";"Administración del Estado";"(***) Formatos no propietarios";"";"Ciencia y tecnología, Empleo, Sector Público, Transporte";"https://sede.puertos.gob.es/Documents/PUERTOS-PlanRISP_2014.pdf";"";"";"";"";"";"https://sede.puertos.gob.es/Paginas/AvisoLegalDatosAbiertos.aspx";"";"";"";"Sí"
"Datos Abiertos Ministerio de Empleo y Seguridad Social";"https://sede.empleoyseguridadsocial.gob.es/es/sede_electronica/contenidos/datosabiertos/datosministerio/index.htm";"Ministerio de Empleo y Seguridad Social";"40.442930000000,-3.693633000000";"Administración del Estado";"(***) Formatos no propietarios";"";"Empleo";"https://sede.empleoyseguridadsocial.gob.es/es/sede_electronica/contenidos/datosabiertos/Plan_RISP_Ministerio_Empleo_y_Seguridad_Social_Sede_Central.pdf";"";"";"";"";"";"https://sede.empleoyseguridadsocial.gob.es/es/sede_electronica/contenidos/datosabiertos/AVISO_LEGAL.pdf";"";"";"";"Sí"
"Datos Abiertos Ayuntamiento de Gijón";"http://transparencia.gijon.es/set.html";"Ayuntamiento de Gijón";"43.558819000000,-5.699587000000";"Administración Local";"(****) Datos RDF";"";"Transporte";"";"http://transparencia.gijon.es/page/1808-catalogo-de-datos";"";"";"";"http://transparencia.gijon.es/page/12217-servicio-sparql";"Creative Commons - Reconocimiento (CC-by 3.0)";"";"http://transparencia.gijon.es/page/1809-aplicaciones";"";"Sí"
"Datos Abiertos Autoridad Portuaria de Tarragona";"https://www.porttarragona.cat/es/autoridad-portuaria-tarragona/datos-abiertos";"Autoridad Portuaria de Tarragona";"41.108002000000,1.250006000000";"Administración del Estado";"(***) Formatos no propietarios";"";"Sector Público, Transporte";"https://www.porttarragona.cat/files/docs/APT/Nueva-carpeta/Pla-reutilitzaci%C3%B3-informaci%C3%B3-APT.pdf";"";"";"";"";"";"https://www.porttarragona.cat/es/autoridad-portuaria-tarragona/datos-abiertos#condiciones";"";"";"";"Sí"
"Datos Abiertos Autoridad Portuaria de Cartagena";"http://datos.apc.es/";"Autoridad Portuaria de Cartagena";"37.598188000000,-0.986342000000";"Administración del Estado";"(***) Formatos no propietarios";"Sencillo";"";"http://datos.apc.es/wps/wcm/connect/71ef2511-904b-48f9-8c12-0e3a29f6df8f/Plan+de+medidas+de+impulso+de+reutilizaci%C3%B3n+de+la+informaci%C3%B3n+APC.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-71ef2511-904b-48f9-8c12-0e3a29f6df8f-kHaQwVk";"";"";"";"";"";"";"";"";"";"Sí"
"Datos Abiertos Autoridad Portuaria de Ceuta";"http://www.puertodeceuta.com/sede-electronica/reutilizacion-de-medidas-de-impulso-de-la-reutilizacion-de-la-informacion";"Autoridad Portuaria de Ceuta";"35.892580000000,-5.315765000000";"Administración del Estado";"(***) Formatos no propietarios";"";"Economía";"";"";"";"";"";"";"";"";"";"";"Sí"
"Datos Abiertos Ayuntamiento de la Pobla de Vallbona";"http://dadesobertes.lapobladevallbona.es/es/dades-obertes/";"Ayuntamiento de la Pobla de Vallbona";"39.590721000000,-0.554670000000";"Administración Local";"(****) Datos RDF";"";"Demografía";"";"http://dadesobertes.lapobladevallbona.es/es/cataleg/";"";"";"";"";"";"";"";"";"No"
"Portal de datos abiertos de la Diputación Foral de Bizkaia";"https://www.opendatabizkaia.eus/es/";"Diputación Foral de Bizkaia";"43.250000000000,-2.916670000000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"";"";"";"";"";"";"";"";"";"";"";"Sí"
"Datos Abiertos del portal del Ayuntamiento de Villanueva de la Serena";"http://opendata.villanuevadelaserena.es/";"Ayuntamiento de Villanueva de la Serena";"38.973575200000,-5.799732300000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"";"";"http://catalogo.villanuevadelaserena.es/catalog.rdf";"";"http://catalogo.villanuevadelaserena.es/docapi";"";"http://opendata.villanuevadelaserena.es/editorsparql";"http://opendata.villanuevadelaserena.es/terminos";"";"http://opendata.villanuevadelaserena.es/apps";"";"No"
"Ayuntamiento de Aljarque - Datos Abiertos";"http://www.ayto-aljaraque.es/es/gobierno-abierto/datos-abiertos/";"Ayuntamiento de Aljarque";"37.271192000000,-7.021627000000";"Administración Local";"(***) Formatos no propietarios";"";"Cultura y Ocio";"";"http://www.ayto-aljaraque.es/es/gobierno-abierto/datos-abiertos/Conjuntos-de-Datos/";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Puente Genil - Gobierno Abierto";"http://www.ogobpg.es/opendata";"Ayuntamiento de Puente Genil";"37.387616000000,-4.778746000000";"Administración Local";"(***) Formatos no propietarios";"";"Educación, Salud, Transporte";"";"http://www.ogobpg.es/opendata";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Pozoblanco - Datos Abiertos";"http://www.pozoblanco.es/contenido/datos-abiertos";"Ayuntamiento de Pozoblanco";"38.377461000000,-4.848319000000";"Administración Local";"";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Villanueva del Duque - Datos Abiertos";"http://transparencia.villanuevadelduque.com/contenido/datos-abiertos";"Ayuntamiento de Villanueva del Duque";"38.392942000000,-5.000187000000";"Administración Local";"";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Montoro - Datos Abiertos";"http://www.montoro.es/contenido/datos-abiertos";"Ayuntamiento de Montoro ";"38.026230000000,-4.381657000000";"Administración Local";"";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Alcázar de San Juan - Portal de Datos Abiertos";"http://www.alcazardesanjuan.es/portal/contenedor.jsp?seccion=menu.jsp&language=es&codResi=1&codMenuPN=62&codMenuSN=312&codMenu=315";"Ayuntamiento de Alcázar de San Juan";"39.389213000000,-3.210426000000";"Administración Local";"(*) Datos publicados";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Rivas-Vaciamadrid - Datos Abiertos";"http://datosabiertos.rivasciudad.es/#";"Ayuntamiento de Rivas-Vaciamadrid ";"40.354984000000,-3.547995000000";"Administración Local";"(****) Datos RDF";"Sencillo";"Cultura y Ocio, Demografía, Deporte, Educación, Hacienda, Medio Ambiente, Salud, Sector Público, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras";"";"";"";"http://datosabiertos.rivasciudad.es/pages/api-open-data";"";"";"";"";"";"http://datosabiertos.rivasciudad.es/pages/informacion-datos-abiertos";"No"
"Ayuntamiento de Las Rozas - Datos Abiertos";"https://www.lasrozas.es/index.php/en/node/25";"Ayuntamiento de Las Rozas";"40.493191000000,-3.874341000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Villaviciosa de Odón - Portal de Transparencia";"https://www.aytovillaviciosadeodon.es/portal-de-transparencia/datos-abiertos";"Ayuntamiento de Villaviciosa de Odón ";"40.358387000000,-3.901759000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Escurial - Open Data";"http://www.escurial.es/open-data";"Ayuntamiento de Escurial";"39.168526000000,-5.883629000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Almoharín - Open Data";"http://www.almoharin.es/open-data";"Ayuntamiento de Almoharín";"39.176225000000,-6.044081000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Arroyomolinos - Open Data";"http://www.arroyomolinos.es/open-data";"Ayuntamiento de Arroyomolinos";"39.185569000000,-6.163262000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Alcuéscar - Open Data";"http://www.alcuescar.es/open-data";"Ayuntamiento de Alcuéscar";"39.180229000000,-6.228305000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Montánchez - Open Data";"http://www.montanchez.es/open-data";"Ayuntamiento de Montánchez";"39.225309000000,-6.152617000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Valdemorales - Open Data";"http://www.valdemorales.es/open-data";"Ayuntamiento de Valdemorales";"39.205671000000,-6.065278000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Abertura - Open Data";"http://www.abertura.es/open-data";"Ayuntamiento de Abertura";"39.243989000000,-5.813161000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Zorita - Open Data";"http://www.zorita.es/open-data";"Ayuntamiento de Zorita";"39.284233000000,-5.699206000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Zarza de Montánchez - Open Data";"http://www.zarzademontanchez.es/open-data";"Ayuntamiento de Zarza de Montánchez";"39.256861000000,-6.030752000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Robledillo de Trujillo - Open Data";"http://www.robledillodetrujillo.es/open-data";"Ayuntamiento de Robledillo de Trujillo";"39.269393000000,-5.980586000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
